pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
15111,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC147.5CE,CE,USDJPY25DEC147.5CE,,43,,,,,,100000,1,1451485800,1000,4,1.475e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,3.66e+07,2.38e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15112,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC147.5PE,PE,USDJPY25DEC147.5PE,,43,,,,,,100000,1,1451485800,1000,4,1.475e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.291e+08,1.015e+08,5877,1,1,0,0,100,0,1e+12,0,0,10000
15113,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC148CE,CE,USDJPY25DEC148CE,,43,,,,,,100000,1,1451485800,1000,4,1.48e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,3.49e+07,2.27e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15114,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC148PE,PE,USDJPY25DEC148PE,,43,,,,,,100000,1,1451485800,1000,4,1.48e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.33e+08,1.05e+08,5877,1,1,0,0,100,0,1e+12,0,0,10000
15115,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC148.5CE,CE,USDJPY25DEC148.5CE,,43,,,,,,100000,1,1451485800,1000,4,1.485e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,3.33e+07,2.15e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15116,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC148.5PE,PE,USDJPY25DEC148.5PE,,43,,,,,,100000,1,1451485800,1000,4,1.485e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.37e+08,1.086e+08,5877,1,1,0,0,100,0,1e+12,0,0,10000
15117,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC149CE,CE,USDJPY25DEC149CE,,43,,,,,,100000,1,1451485800,1000,4,1.49e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,3.19e+07,2.05e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15118,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC149PE,PE,USDJPY25DEC149PE,,43,,,,,,100000,1,1451485800,1000,4,1.49e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.411e+08,1.123e+08,5877,1,1,0,0,100,0,1e+12,0,0,10000
15119,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC149.5CE,CE,USDJPY25DEC149.5CE,,43,,,,,,100000,1,1451485800,1000,4,1.495e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,3.05e+07,1.95e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
8271,XX,cde_fo,OPTCUR,JPYINR,JPYINR25MAY56.75PE,PE,JPYINR25MAY56.75PE,,27,,,,,,25000,1,1432909800,1000,4,5.675e+08,CDS,OPTCUR,1432909800,,1432882800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1432857600,1432909800,,,,,,315513000,0,1,0,1,0,1.75e+06,100000,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8272,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704112.75CE,CE,GBPINR25704112.75CE,,26,,,,,,25000,1,1436106600,1000,4,1.1275e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,2.5525e+07,1.3325e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8273,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704112.75PE,PE,GBPINR25704112.75PE,,26,,,,,,25000,1,1436106600,1000,4,1.1275e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,1.9275e+07,9.475e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8274,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704113CE,CE,GBPINR25704113CE,,26,,,,,,25000,1,1436106600,1000,4,1.13e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,2.395e+07,1.225e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
